,Date,Cured,Deaths,Confirmed,Active,year,month,yr_mth
0,2020-01-30,0,0,1,1,2020,1,2020_1
1,2020-01-31,0,0,1,1,2020,1,2020_1
2,2020-02-01,0,0,2,2,2020,2,2020_2
3,2020-02-02,0,0,3,3,2020,2,2020_2
4,2020-02-03,0,0,3,3,2020,2,2020_2
5,2020-02-04,0,0,3,3,2020,2,2020_2
6,2020-02-05,0,0,3,3,2020,2,2020_2
7,2020-02-06,0,0,3,3,2020,2,2020_2
8,2020-02-07,0,0,3,3,2020,2,2020_2
9,2020-02-08,0,0,3,3,2020,2,2020_2
10,2020-02-09,0,0,3,3,2020,2,2020_2
11,2020-02-10,0,0,3,3,2020,2,2020_2
12,2020-02-11,0,0,3,3,2020,2,2020_2
13,2020-02-12,0,0,3,3,2020,2,2020_2
14,2020-02-13,0,0,3,3,2020,2,2020_2
15,2020-02-14,0,0,3,3,2020,2,2020_2
16,2020-02-15,0,0,3,3,2020,2,2020_2
17,2020-02-16,0,0,3,3,2020,2,2020_2
18,2020-02-17,0,0,3,3,2020,2,2020_2
19,2020-02-18,0,0,3,3,2020,2,2020_2
20,2020-02-19,0,0,3,3,2020,2,2020_2
21,2020-02-20,0,0,3,3,2020,2,2020_2
22,2020-02-21,0,0,3,3,2020,2,2020_2
23,2020-02-22,0,0,3,3,2020,2,2020_2
24,2020-02-23,0,0,3,3,2020,2,2020_2
25,2020-02-24,0,0,3,3,2020,2,2020_2
26,2020-02-25,0,0,3,3,2020,2,2020_2
27,2020-02-26,0,0,3,3,2020,2,2020_2
28,2020-02-27,0,0,3,3,2020,2,2020_2
29,2020-02-28,0,0,3,3,2020,2,2020_2
30,2020-02-29,0,0,3,3,2020,2,2020_2
31,2020-03-01,0,0,3,3,2020,3,2020_3
32,2020-03-02,0,0,5,5,2020,3,2020_3
33,2020-03-03,3,0,6,3,2020,3,2020_3
34,2020-03-04,3,0,28,25,2020,3,2020_3
35,2020-03-05,3,0,30,27,2020,3,2020_3
36,2020-03-06,3,0,31,28,2020,3,2020_3
37,2020-03-07,3,0,34,31,2020,3,2020_3
38,2020-03-08,3,0,39,36,2020,3,2020_3
39,2020-03-09,3,0,46,43,2020,3,2020_3
40,2020-03-10,3,0,58,55,2020,3,2020_3
41,2020-03-11,3,0,60,57,2020,3,2020_3
42,2020-03-12,3,0,74,71,2020,3,2020_3
43,2020-03-13,3,1,81,78,2020,3,2020_3
44,2020-03-14,10,2,84,74,2020,3,2020_3
45,2020-03-15,13,2,110,97,2020,3,2020_3
46,2020-03-16,13,2,114,101,2020,3,2020_3
47,2020-03-17,14,3,137,123,2020,3,2020_3
48,2020-03-18,14,3,151,137,2020,3,2020_3
49,2020-03-19,20,4,173,153,2020,3,2020_3
50,2020-03-20,23,4,223,200,2020,3,2020_3
51,2020-03-21,23,4,283,260,2020,3,2020_3
52,2020-03-22,24,7,360,336,2020,3,2020_3
53,2020-03-23,24,7,433,409,2020,3,2020_3
54,2020-03-24,40,9,519,479,2020,3,2020_3
55,2020-03-25,43,10,606,563,2020,3,2020_3
56,2020-03-26,45,15,694,649,2020,3,2020_3
57,2020-03-27,67,17,724,657,2020,3,2020_3
58,2020-03-28,80,19,909,829,2020,3,2020_3
59,2020-03-29,96,27,1024,928,2020,3,2020_3
60,2020-03-30,102,31,1251,1149,2020,3,2020_3
61,2020-03-31,124,35,1397,1273,2020,3,2020_3
62,2020-04-01,144,41,1834,1690,2020,4,2020_4
63,2020-04-02,156,53,2069,1913,2020,4,2020_4
64,2020-04-03,163,62,2547,2384,2020,4,2020_4
65,2020-04-04,213,75,3072,2859,2020,4,2020_4
66,2020-04-05,275,83,3577,3302,2020,4,2020_4
67,2020-04-06,319,111,4281,3962,2020,4,2020_4
68,2020-04-07,353,124,4789,4436,2020,4,2020_4
69,2020-04-08,411,149,5274,4863,2020,4,2020_4
70,2020-04-09,478,169,5865,5387,2020,4,2020_4
71,2020-04-10,516,206,6761,6245,2020,4,2020_4
72,2020-04-11,653,242,7529,6876,2020,4,2020_4
73,2020-04-12,765,273,8447,7682,2020,4,2020_4
74,2020-04-13,980,324,9352,8372,2020,4,2020_4
75,2020-04-14,1190,353,10815,9625,2020,4,2020_4
76,2020-04-15,1344,392,11933,10589,2020,4,2020_4
77,2020-04-16,1515,420,12759,11244,2020,4,2020_4
78,2020-04-17,1767,452,13835,12068,2020,4,2020_4
79,2020-04-18,2015,488,14792,12777,2020,4,2020_4
80,2020-04-19,2302,519,16116,13814,2020,4,2020_4
81,2020-04-20,2842,559,17656,14814,2020,4,2020_4
82,2020-04-21,3260,603,18985,15725,2020,4,2020_4
83,2020-04-22,3960,652,20471,16511,2020,4,2020_4
84,2020-04-23,4325,686,21700,17375,2020,4,2020_4
85,2020-04-24,4814,723,23452,18638,2020,4,2020_4
86,2020-04-25,5210,779,24893,19683,2020,4,2020_4
87,2020-04-26,5914,826,26605,20691,2020,4,2020_4
88,2020-04-27,6362,886,28160,21798,2020,4,2020_4
89,2020-04-28,7027,937,29834,22807,2020,4,2020_4
90,2020-04-29,7797,1008,31709,23912,2020,4,2020_4
91,2020-04-30,8373,1075,33330,24957,2020,4,2020_4
92,2020-05-01,9065,1152,34972,25907,2020,5,2020_5
93,2020-05-02,9951,1218,37157,27206,2020,5,2020_5
94,2020-05-03,10887,1306,40124,29237,2020,5,2020_5
95,2020-05-04,11762,1389,42836,31074,2020,5,2020_5
96,2020-05-05,13161,1583,46711,33550,2020,5,2020_5
97,2020-05-06,14183,1694,49391,35208,2020,5,2020_5
98,2020-05-07,15267,1783,52952,37685,2020,5,2020_5
99,2020-05-08,16540,1886,56342,39802,2020,5,2020_5
100,2020-05-09,17847,1981,59662,41815,2020,5,2020_5
101,2020-05-10,19358,2109,62939,43581,2020,5,2020_5
102,2020-05-11,20917,2206,67152,46235,2020,5,2020_5
103,2020-05-12,22455,2293,70756,48301,2020,5,2020_5
104,2020-05-13,24386,2415,74281,49895,2020,5,2020_5
105,2020-05-14,26235,2549,78003,51768,2020,5,2020_5
106,2020-05-15,27920,2649,81970,54050,2020,5,2020_5
107,2020-05-16,30153,2752,85710,55557,2020,5,2020_5
108,2020-05-17,34109,2872,90637,56528,2020,5,2020_5
109,2020-05-18,36824,3029,95759,58935,2020,5,2020_5
110,2020-05-19,39174,3163,100325,61151,2020,5,2020_5
111,2020-05-20,42298,3303,106750,64452,2020,5,2020_5
112,2020-05-21,45300,3435,112359,67059,2020,5,2020_5
113,2020-05-22,48534,3583,118447,69913,2020,5,2020_5
114,2020-05-23,51784,3720,125101,73317,2020,5,2020_5
115,2020-05-24,54441,3867,131868,77427,2020,5,2020_5
116,2020-05-25,57721,4021,138845,81124,2020,5,2020_5
117,2020-05-26,60491,4167,145380,84889,2020,5,2020_5
118,2020-05-27,64426,4337,151767,87341,2020,5,2020_5
119,2020-05-28,67692,4531,158333,90641,2020,5,2020_5
120,2020-05-29,71106,4706,165799,94693,2020,5,2020_5
121,2020-05-30,82370,4971,173763,91393,2020,5,2020_5
122,2020-05-31,86984,5164,182143,95159,2020,5,2020_5
123,2020-06-01,91819,5394,190535,98716,2020,6,2020_6
124,2020-06-02,95527,5598,198706,103179,2020,6,2020_6
125,2020-06-03,100303,5815,207615,107312,2020,6,2020_6
126,2020-06-04,104107,6075,216919,112812,2020,6,2020_6
127,2020-06-05,109462,6348,226770,117308,2020,6,2020_6
128,2020-06-06,114073,6642,236657,122584,2020,6,2020_6
129,2020-06-07,119293,6929,246628,127335,2020,6,2020_6
130,2020-06-08,124095,7135,256611,132516,2020,6,2020_6
131,2020-06-09,129215,7466,266598,137383,2020,6,2020_6
132,2020-06-10,135206,7745,276583,141377,2020,6,2020_6
133,2020-06-11,141029,8102,286579,145550,2020,6,2020_6
134,2020-06-12,147195,8498,297535,150340,2020,6,2020_6
135,2020-06-13,154330,8884,308993,154663,2020,6,2020_6
136,2020-06-14,162379,9195,320922,158543,2020,6,2020_6
137,2020-06-15,169798,9520,332424,162626,2020,6,2020_6
138,2020-06-16,180013,9900,343091,163078,2020,6,2020_6
139,2020-06-17,186935,11903,354065,167130,2020,6,2020_6
140,2020-06-18,194325,12237,366946,172621,2020,6,2020_6
141,2020-06-19,204711,12573,380532,175821,2020,6,2020_6
142,2020-06-20,213831,12948,395048,181217,2020,6,2020_6
143,2020-06-21,227756,13254,410461,182705,2020,6,2020_6
144,2020-06-22,237196,13699,425282,188086,2020,6,2020_6
145,2020-06-23,248190,14011,440215,192025,2020,6,2020_6
146,2020-06-24,258685,14476,456183,197498,2020,6,2020_6
147,2020-06-25,271697,14894,473105,201408,2020,6,2020_6
148,2020-06-26,285637,15301,490401,204764,2020,6,2020_6
149,2020-06-27,295881,15685,508953,213072,2020,6,2020_6
150,2020-06-28,309713,16095,528859,219146,2020,6,2020_6
151,2020-06-29,321723,16475,548318,226595,2020,6,2020_6
152,2020-06-30,334822,16893,566840,232018,2020,6,2020_6
153,2020-07-01,347979,17400,585493,237514,2020,7,2020_7
154,2020-07-02,359860,17834,604641,244781,2020,7,2020_7
155,2020-07-03,379892,18213,625544,245652,2020,7,2020_7
156,2020-07-04,394227,18655,648315,254088,2020,7,2020_7
157,2020-07-05,409083,19268,673165,264082,2020,7,2020_7
158,2020-07-06,424433,19693,697413,272980,2020,7,2020_7
159,2020-07-07,439948,20160,719665,279717,2020,7,2020_7
160,2020-07-08,456831,20642,742417,285586,2020,7,2020_7
161,2020-07-09,476378,21129,767296,290918,2020,7,2020_7
162,2020-07-10,495516,21604,793802,298286,2020,7,2020_7
163,2020-07-11,515386,22123,820916,305530,2020,7,2020_7
164,2020-07-12,534621,22674,849553,314932,2020,7,2020_7
165,2020-07-13,553471,23174,878254,324783,2020,7,2020_7
166,2020-07-14,571460,23727,906752,335292,2020,7,2020_7
167,2020-07-15,592032,24309,936181,344149,2020,7,2020_7
168,2020-07-16,612815,24915,968876,356061,2020,7,2020_7
169,2020-07-17,635757,25602,1003832,368075,2020,7,2020_7
170,2020-07-18,653751,26273,1038716,384965,2020,7,2020_7
171,2020-07-19,677423,26816,1077618,400195,2020,7,2020_7
172,2020-07-20,700087,27497,1118043,417956,2020,7,2020_7
173,2020-07-21,724578,28084,1155191,430613,2020,7,2020_7
174,2020-07-22,753050,28732,1192915,439865,2020,7,2020_7
175,2020-07-23,782607,29861,1238635,456028,2020,7,2020_7
176,2020-07-24,817209,30601,1287945,470736,2020,7,2020_7
177,2020-07-25,849432,31358,1336861,487429,2020,7,2020_7
178,2020-07-26,885577,32063,1385522,499945,2020,7,2020_7
179,2020-07-27,917568,32771,1435453,517885,2020,7,2020_7
180,2020-07-28,952743,33425,1483156,530413,2020,7,2020_7
181,2020-07-29,988029,34193,1531669,543640,2020,7,2020_7
182,2020-07-30,1020582,34968,1583792,563210,2020,7,2020_7
183,2020-07-31,1057805,35747,1638870,581065,2020,7,2020_7
184,2020-08-01,1094374,36511,1695988,601614,2020,8,2020_8
185,2020-08-02,1145629,37364,1750723,605094,2020,8,2020_8
186,2020-08-03,1186203,38135,1803695,617492,2020,8,2020_8
187,2020-08-04,1230509,38938,1855745,625236,2020,8,2020_8
188,2020-08-05,1282215,39795,1908254,626039,2020,8,2020_8
189,2020-08-06,1328336,40699,1964536,636200,2020,8,2020_8
190,2020-08-07,1378105,41585,2027074,648969,2020,8,2020_8
191,2020-08-08,1427005,42518,2088611,661606,2020,8,2020_8
192,2020-08-09,1480884,43379,2153010,672126,2020,8,2020_8
193,2020-08-10,1535743,44386,2215074,679331,2020,8,2020_8
194,2020-08-11,1583489,45257,2268675,685186,2020,8,2020_8
195,2020-08-12,1639599,46091,2329638,690039,2020,8,2020_8
196,2020-08-13,1695982,47033,2396637,700655,2020,8,2020_8
197,2020-08-14,1751555,48040,2461190,709635,2020,8,2020_8
198,2020-08-15,1808936,49036,2526192,717256,2020,8,2020_8
199,2020-08-16,1862258,49980,2589682,727424,2020,8,2020_8
200,2020-08-17,1919842,50921,2647663,727821,2020,8,2020_8
201,2020-08-18,1977779,51797,2702742,724963,2020,8,2020_8
202,2020-08-19,2037870,52889,2767273,729403,2020,8,2020_8
203,2020-08-20,2096664,53866,2836925,740261,2020,8,2020_8
204,2020-08-21,2158946,54849,2905823,746877,2020,8,2020_8
205,2020-08-22,2222577,55794,2975701,753124,2020,8,2020_8
206,2020-08-23,2280566,56706,3044940,764374,2020,8,2020_8
207,2020-08-24,2338035,57542,3106348,768313,2020,8,2020_8
208,2020-08-25,2404585,58390,3167323,762738,2020,8,2020_8
209,2020-08-26,2467758,59449,3234474,766716,2020,8,2020_8
210,2020-08-27,2523771,60472,3310234,786463,2020,8,2020_8
211,2020-08-28,2583948,61529,3387500,803552,2020,8,2020_8
212,2020-08-29,2648998,62550,3463972,814974,2020,8,2020_8
213,2020-08-30,2713933,63498,3542733,828800,2020,8,2020_8
214,2020-08-31,2774801,64469,3621245,846444,2020,8,2020_8
215,2020-09-01,2839882,65288,3691166,851284,2020,9,2020_9
216,2020-09-02,2901908,66333,3769523,867615,2020,9,2020_9
217,2020-09-03,2970492,67376,3853406,882914,2020,9,2020_9
218,2020-09-04,3037151,68472,3936747,899596,2020,9,2020_9
219,2020-09-05,3107223,69561,4023179,915956,2020,9,2020_9
220,2020-09-06,3180865,70626,4113811,932946,2020,9,2020_9
221,2020-09-07,3250429,71642,4204613,954184,2020,9,2020_9
222,2020-09-08,3323950,72775,4280422,956472,2020,9,2020_9
223,2020-09-09,3398844,73890,4370128,971284,2020,9,2020_9
224,2020-09-10,3471783,75062,4465863,994080,2020,9,2020_9
225,2020-09-11,3542663,76271,4562414,1019751,2020,9,2020_9
226,2020-09-12,3624196,77472,4659984,1035788,2020,9,2020_9
227,2020-09-13,3702595,78586,4754356,1051761,2020,9,2020_9
228,2020-09-14,3780107,79722,4846427,1066320,2020,9,2020_9
229,2020-09-15,3859399,80776,4930236,1070837,2020,9,2020_9
230,2020-09-16,3942360,82066,5020359,1077999,2020,9,2020_9
231,2020-09-17,4025079,83198,5118253,1093174,2020,9,2020_9
232,2020-09-18,4112551,84372,5214677,1102126,2020,9,2020_9
233,2020-09-19,4208431,85619,5308014,1099583,2020,9,2020_9
234,2020-09-20,4303043,86752,5400619,1097576,2020,9,2020_9
235,2020-09-21,4396399,87882,5487580,1091181,2020,9,2020_9
236,2020-09-22,4497867,88935,5562663,1064796,2020,9,2020_9
237,2020-09-23,4587613,90020,5646010,1058397,2020,9,2020_9
238,2020-09-24,4674987,91149,5732518,1057531,2020,9,2020_9
239,2020-09-25,4756164,92290,5818570,1062406,2020,9,2020_9
240,2020-09-26,4849584,93379,5903932,1054348,2020,9,2020_9
241,2020-09-27,4941627,94503,5992532,1050905,2020,9,2020_9
242,2020-09-28,5016520,95542,6074702,1058182,2020,9,2020_9
243,2020-09-29,5101397,96318,6145291,1043894,2020,9,2020_9
244,2020-09-30,5187825,97497,6225763,1037938,2020,9,2020_9
245,2020-10-01,5273201,98678,6312584,1039383,2020,10,2020_10
246,2020-10-02,5352078,99773,6394068,1041990,2020,10,2020_10
247,2020-10-03,5427706,100842,6473544,1045838,2020,10,2020_10
248,2020-10-04,5509966,101782,6549373,1039407,2020,10,2020_10
249,2020-10-05,5586703,102685,6623815,1037112,2020,10,2020_10
250,2020-10-06,5662490,103569,6685082,1022592,2020,10,2020_10
251,2020-10-07,5744693,104555,6757131,1012438,2020,10,2020_10
252,2020-10-08,5827704,105526,6835655,1007951,2020,10,2020_10
253,2020-10-09,5906069,106490,6906151,1000082,2020,10,2020_10
254,2020-10-10,5988822,107416,6979423,990601,2020,10,2020_10
255,2020-10-11,6077976,108334,7053806,975830,2020,10,2020_10
256,2020-10-12,6149535,109150,7120538,971003,2020,10,2020_10
257,2020-10-13,6227295,109856,7175880,948585,2020,10,2020_10
258,2020-10-14,6301927,110586,7239389,937462,2020,10,2020_10
259,2020-10-15,6383441,111266,7307097,923656,2020,10,2020_10
260,2020-10-16,6453779,112161,7370468,916689,2020,10,2020_10
261,2020-10-17,6524595,112998,7432680,908085,2020,10,2020_10
262,2020-10-18,6597209,114031,7494551,897342,2020,10,2020_10
263,2020-10-19,6663608,114610,7550273,886665,2020,10,2020_10
264,2020-10-20,6733328,115197,7597063,863735,2020,10,2020_10
265,2020-10-21,6795103,115914,7651107,856004,2020,10,2020_10
266,2020-10-22,6874518,116616,7706946,832428,2020,10,2020_10
267,2020-10-23,6948497,117306,7761312,812815,2020,10,2020_10
268,2020-10-24,7016046,117956,7814682,798636,2020,10,2020_10
269,2020-10-25,7078123,118534,7864811,786688,2020,10,2020_10
270,2020-10-26,7137228,119014,7909959,772731,2020,10,2020_10
271,2020-10-27,7201070,119502,7946429,745359,2020,10,2020_10
272,2020-10-28,7259509,120010,7990322,730813,2020,10,2020_10
273,2020-10-29,7315989,120527,8040203,724214,2020,10,2020_10
274,2020-10-30,7373375,121090,8088851,715476,2020,10,2020_10
275,2020-10-31,7432829,121641,8137119,704290,2020,10,2020_10
276,2020-11-01,7491513,122111,8184082,692569,2020,11,2020_11
277,2020-11-02,7544798,122607,8229313,684515,2020,11,2020_11
278,2020-11-03,7603121,123097,8267623,664502,2020,11,2020_11
279,2020-11-04,7656478,123611,8313876,657398,2020,11,2020_11
280,2020-11-05,7711809,124315,8364086,652277,2020,11,2020_11
281,2020-11-06,7765966,124985,8411724,645758,2020,11,2020_11
282,2020-11-07,7819886,125562,8462080,642194,2020,11,2020_11
283,2020-11-08,7868968,126121,8507754,638786,2020,11,2020_11
284,2020-11-09,7917373,126611,8553657,636284,2020,11,2020_11
285,2020-11-10,7963457,127059,8591730,628273,2020,11,2020_11
286,2020-11-11,8013783,127571,8636011,622228,2020,11,2020_11
287,2020-11-12,8066501,128121,8683916,617415,2020,11,2020_11
288,2020-11-13,8115580,128668,8728795,613215,2020,11,2020_11
289,2020-11-14,8163572,129188,8773479,609907,2020,11,2020_11
290,2020-11-15,8205728,129635,8814579,608851,2020,11,2020_11
291,2020-11-16,8249579,130070,8845127,595548,2020,11,2020_11
292,2020-11-17,8290370,130519,8874290,583920,2020,11,2020_11
293,2020-11-18,8335109,130993,8912907,577798,2020,11,2020_11
294,2020-11-19,8383602,131578,8958483,574881,2020,11,2020_11
295,2020-11-20,8428409,132162,9004365,575956,2020,11,2020_11
296,2020-11-21,8478124,132726,9050597,572473,2020,11,2020_11
297,2020-11-22,8521617,133227,9095806,574189,2020,11,2020_11
298,2020-11-23,8562641,133738,9139865,577224,2020,11,2020_11
299,2020-11-24,8604955,134218,9177840,572885,2020,11,2020_11
300,2020-11-25,8642771,134699,9222216,579445,2020,11,2020_11
